Molecule ChEMBL ID,Standard Value
CHEMBL4104915,22.0
CHEMBL403358,5.0
CHEMBL402344,545.0
CHEMBL403395,313.0
CHEMBL4113443,4.0
CHEMBL3969623,4.2
CHEMBL4109716,1271.0
CHEMBL3891604,1000.0
CHEMBL3971390,100.0
CHEMBL3968683,100.0
CHEMBL3968371,100.0
CHEMBL4108397,119.0
CHEMBL4112264,570.0
CHEMBL4108230,40.0
CHEMBL3895042,620.0
CHEMBL4566431,0.078
CHEMBL4113216,2500.0
CHEMBL4107142,2.5
CHEMBL3945726,2.0
CHEMBL3921524,2.8
CHEMBL3938709,13.4
CHEMBL3973484,10.6
CHEMBL4109209,1.2
CHEMBL4107813,1.4
CHEMBL3904382,2.4
CHEMBL4107813,2.5
CHEMBL4107813,1.6
CHEMBL4111656,3.6
CHEMBL4111310,4.4
CHEMBL3890756,3.1
CHEMBL3931358,300.0
CHEMBL3921034,2.5
CHEMBL3892469,6.7
CHEMBL3914088,20.1
CHEMBL4285338,331.13
CHEMBL4112197,5.7
CHEMBL3980538,2.8
CHEMBL4783351,1375.0
CHEMBL3634384,280.0
CHEMBL3634502,12.0
CHEMBL3977735,4.4
CHEMBL3922475,6.5
CHEMBL4109992,18.5
CHEMBL4064608,5.0
CHEMBL3915404,2.1
CHEMBL3947585,8.1
CHEMBL4093475,640.0
CHEMBL2022369,873.0
CHEMBL4280028,8910.0
CHEMBL4280028,8912.51
CHEMBL4097089,44.0
CHEMBL4063689,5.0
CHEMBL3938948,1000.0
CHEMBL3941465,100.0
CHEMBL4561018,1100.0
CHEMBL3586508,13.0
CHEMBL4436908,121.0
CHEMBL3586484,170.0
CHEMBL3586492,410.0
CHEMBL4467632,683.0
CHEMBL3960922,10.9
CHEMBL3601077,647.0
CHEMBL3586507,180.0
CHEMBL4091863,64.0
CHEMBL4096937,70.0
CHEMBL4091402,50.0
CHEMBL4069401,20.0
CHEMBL4473420,2677.0
CHEMBL4278882,21.88
CHEMBL4559589,202.0
CHEMBL4294023,15.49
CHEMBL4108900,4.8
CHEMBL4109920,2.3
CHEMBL4108474,1.5
CHEMBL4108248,1.5
CHEMBL4107168,7.9
CHEMBL4115151,1.6
CHEMBL4106842,1.7
CHEMBL4463551,5000.0
CHEMBL4114114,1.3
CHEMBL3962798,7.1
CHEMBL255446,7.0
CHEMBL403442,112.0
CHEMBL4280028,1190.0
CHEMBL4109973,1.6
CHEMBL3954542,14.4
CHEMBL4113174,99.0
CHEMBL4110300,1.8
CHEMBL4279192,758.0
CHEMBL4292700,13600.0
CHEMBL4101382,1600.0
CHEMBL4075955,300.0
CHEMBL4104915,340.0
CHEMBL4069200,3.0
CHEMBL4063689,140.0
CHEMBL3960537,37.0
CHEMBL3931955,476.0
CHEMBL3933253,1000.0
CHEMBL3912286,100.0
CHEMBL4067302,33.0
CHEMBL4079743,10.0
CHEMBL4099198,730.0
CHEMBL4073250,23.9
CHEMBL4076912,29.2
CHEMBL4071526,29.5
CHEMBL4084228,2.4
CHEMBL4072093,17.0
CHEMBL4097259,19.0
CHEMBL3601079,2.0
CHEMBL3601074,11.0
CHEMBL4115340,240.0
CHEMBL3601197,373.0
CHEMBL3601195,1140.0
CHEMBL3622524,2429.0
CHEMBL3621219,375.0
CHEMBL3622520,36.0
CHEMBL2178352,10000.0
CHEMBL3622517,43.0
CHEMBL3967712,4.7
CHEMBL4114212,6.8
CHEMBL4107792,1.5
CHEMBL3976685,2.0
CHEMBL3917045,18.4
CHEMBL4111288,1.3
CHEMBL4112117,5.8
CHEMBL3951794,10.5
CHEMBL4106835,5.4
CHEMBL3966110,5.1
CHEMBL4112848,4.5
CHEMBL3634506,0.5
CHEMBL3601076,12.0
CHEMBL3601190,341.0
CHEMBL3601073,12.0
CHEMBL3634505,7.0
CHEMBL3634509,0.4
CHEMBL3586488,99.0
CHEMBL3933496,1000.0
CHEMBL3353219,1.0
CHEMBL3353215,100.0
CHEMBL3353201,2.2
CHEMBL3353197,1.8
CHEMBL3403429,6850.0
CHEMBL3601199,11900.0
CHEMBL2018064,240.0
CHEMBL4104802,3.0
CHEMBL4089379,6.0
CHEMBL4075333,280.0
CHEMBL4097418,6.0
CHEMBL256713,17.0
CHEMBL3403428,20000.0
CHEMBL3403427,5190.0
CHEMBL3403433,20000.0
CHEMBL3403434,20000.0
CHEMBL2018071,20000.0
CHEMBL3586503,100.0
CHEMBL3980372,1000.0
CHEMBL4109926,69.0
CHEMBL3971606,8200.0
CHEMBL4108111,81.0
CHEMBL3910472,100.0
CHEMBL1938680,7500.0
CHEMBL3353209,100.0
CHEMBL3343040,30000.0
CHEMBL4109973,1.7
CHEMBL3353192,3.6
CHEMBL3361256,100.0
CHEMBL3343046,30000.0
CHEMBL4647594,
CHEMBL4064168,140.0
CHEMBL4093475,640.0
CHEMBL4086053,10000.0
CHEMBL4079194,56.0
CHEMBL3949312,1000.0
CHEMBL3974264,1000.0
CHEMBL3972812,1000.0
CHEMBL3586502,59.0
CHEMBL4648202,4.3
CHEMBL4107902,4.6
CHEMBL4556866,5.0
CHEMBL4438228,1600.0
CHEMBL3894314,15.3
CHEMBL4106742,1.5
CHEMBL4111593,9.2
CHEMBL3951721,5.3
CHEMBL3586495,47.0
CHEMBL4295137,4080.0
CHEMBL4294023,267.0
CHEMBL3946225,1000.0
CHEMBL3892227,1000.0
CHEMBL3967276,125.0
CHEMBL3922852,1000.0
CHEMBL3913498,1000.0
CHEMBL3586493,100.0
CHEMBL3899478,1000.0
CHEMBL3952093,1000.0
CHEMBL3343042,579.0
CHEMBL3590438,2.0
CHEMBL3590483,160.0
CHEMBL3590515,0.5
CHEMBL4079243,373.0
CHEMBL3907139,5.2
CHEMBL3921676,4.4
CHEMBL4108546,6.4
CHEMBL4107445,1.5
CHEMBL4107137,2.2
CHEMBL3586501,100.0
CHEMBL4110321,850.0
CHEMBL4081711,2.0
CHEMBL4109546,2.9
CHEMBL4473656,428.0
CHEMBL3601196,3452.0
CHEMBL4076912,2836.0
CHEMBL3403439,530.0
CHEMBL3403456,6000.0
CHEMBL3403457,300.0
CHEMBL3403431,20000.0
CHEMBL4101382,4.0
CHEMBL4107577,3.6
CHEMBL3973778,14.2
CHEMBL3403426,20000.0
CHEMBL4643871,2000.0
CHEMBL4075955,300.0
CHEMBL4633251,4500.0
CHEMBL4647567,10.0
CHEMBL4639599,
CHEMBL4641090,340.0
CHEMBL4471452,38.0
CHEMBL3601194,204.0
CHEMBL3601189,8.0
CHEMBL3601086,6008.0
CHEMBL3601081,18.0
CHEMBL4645407,320.0
CHEMBL4632511,
CHEMBL288441,574.0
CHEMBL4452662,5000.0
CHEMBL4530226,187.0
CHEMBL4452521,2.0
CHEMBL3590479,4.0
CHEMBL4113269,22.7
CHEMBL4111696,1.8
CHEMBL4107885,9.9
CHEMBL4115045,4.0
CHEMBL4473269,3.6
CHEMBL4294023,269.15
CHEMBL255272,70.0
CHEMBL4097847,4300.0
CHEMBL4295137,4073.8
CHEMBL4282412,98.0
CHEMBL3343047,30000.0
CHEMBL4073250,672.0
CHEMBL4790193,10000.0
CHEMBL4276955,69.18
CHEMBL3586491,2400.0
CHEMBL3621219,11.0
CHEMBL3343058,30000.0
CHEMBL3586505,100.0
CHEMBL3969090,100.0
CHEMBL3943605,1000.0
CHEMBL4085735,5.0
CHEMBL4285338,44.67
CHEMBL4283453,2344.23
CHEMBL4073229,2000.0
CHEMBL4114107,1.9
CHEMBL3940719,2.3
CHEMBL3898331,6.4
CHEMBL3899111,3.7
CHEMBL4110352,1.3
CHEMBL4112926,2.6
CHEMBL3586507,100.0
CHEMBL3343039,30000.0
CHEMBL403490,487.0
CHEMBL402079,1880.0
CHEMBL255439,3030.0
CHEMBL1270795,167.0
CHEMBL3906505,2.5
CHEMBL4584820,97.0
CHEMBL428598,10000.0
CHEMBL485323,3000.0
CHEMBL256963,6.0
CHEMBL255098,216.0
CHEMBL3341771,30000.0
CHEMBL3960442,100.0
CHEMBL3353203,14.0
CHEMBL3897625,1000.0
CHEMBL3975374,100.0
CHEMBL3946413,1710.0
CHEMBL4077863,5000.0
CHEMBL3586483,690.0
CHEMBL3586497,220.0
CHEMBL4535152,285.0
CHEMBL3952633,100.0
CHEMBL255873,4.0
CHEMBL207226,20000.0
CHEMBL4472816,730.0
CHEMBL4287208,602.56
CHEMBL4436754,401.0
CHEMBL414028,2800.0
CHEMBL260339,7200.0
CHEMBL4063689,5.0
CHEMBL254545,10000.0
CHEMBL4059689,20.0
CHEMBL4075948,170.0
CHEMBL4293607,21.38
CHEMBL4112525,2.5
CHEMBL4112384,1.1
CHEMBL3343055,30000.0
CHEMBL4078264,25.0
CHEMBL4059465,5.0
CHEMBL4521212,140.0
CHEMBL4452765,0.47
CHEMBL4282348,77.62
CHEMBL3343044,30000.0
CHEMBL3343038,30000.0
CHEMBL4649875,4.1
CHEMBL3915142,605.0
CHEMBL3915495,1000.0
CHEMBL4455718,160.0
CHEMBL3634509,3.0
CHEMBL3353198,50.0
CHEMBL3634501,140.0
CHEMBL3353220,8.0
CHEMBL3634503,34.0
CHEMBL3986856,1000.0
CHEMBL3950375,100.0
CHEMBL3735401,465.0
CHEMBL4787051,1000.0
CHEMBL3353193,3.5
CHEMBL3634512,12.0
CHEMBL3634514,13.0
CHEMBL3745885,10000.0
CHEMBL3634502,0.5
CHEMBL4559589,106.0
CHEMBL3353190,1.9
CHEMBL4109069,1.6
CHEMBL3895603,1.9
CHEMBL4094792,11.0
CHEMBL4098137,130.0
CHEMBL4526990,1449.0
CHEMBL4473269,170.0
CHEMBL4456286,84.0
CHEMBL3353187,21.0
CHEMBL4081711,0.2
CHEMBL3601082,20000.0
CHEMBL3353206,36.0
CHEMBL3919594,131.0
CHEMBL4068348,730.0
CHEMBL4065667,1800.0
CHEMBL3601075,7.0
CHEMBL3622512,18.0
CHEMBL2063926,10000.0
CHEMBL4582624,4.0
CHEMBL3343037,24400.0
CHEMBL4645407,3.5
CHEMBL4528699,420.0
CHEMBL4283847,1770.0
CHEMBL3918584,1000.0
CHEMBL3622525,85.0
CHEMBL4113628,1.7
CHEMBL4112750,2.8
CHEMBL4109995,6.4
CHEMBL3944928,3.4
CHEMBL3965584,1.7
CHEMBL4114108,3.1
CHEMBL3925564,1.7
CHEMBL4110171,3.3
CHEMBL4107284,1.8
CHEMBL4109217,2.3
CHEMBL3977557,4.6
CHEMBL3898670,100.0
CHEMBL3972360,100.0
CHEMBL4111572,12.0
CHEMBL3936996,100.0
CHEMBL4115108,2.9
CHEMBL3956292,1000.0
CHEMBL3925792,3769.0
CHEMBL3940329,4169.0
CHEMBL4799481,10000.0
CHEMBL3941904,1000.0
CHEMBL3353210,100.0
CHEMBL3353204,16.0
CHEMBL3978540,1000.0
CHEMBL3949446,1000.0
CHEMBL3353200,2.6
CHEMBL208116,4500.0
CHEMBL208667,30000.0
CHEMBL209202,1000.0
CHEMBL3586498,67.0
CHEMBL3924141,3698.0
CHEMBL3980233,3395.0
CHEMBL3928306,1000.0
CHEMBL3982232,177.0
CHEMBL3972219,1000.0
CHEMBL3972248,1000.0
CHEMBL4278882,22.0
CHEMBL4108684,3.3
CHEMBL404473,10.0
CHEMBL4592457,30.0
CHEMBL4570072,30.0
CHEMBL4108381,92.0
CHEMBL3965265,98.0
CHEMBL3931877,2849.0
CHEMBL3891363,100.0
CHEMBL3586510,83.0
CHEMBL3936790,23.0
CHEMBL4108757,11.8
CHEMBL3586504,85.0
CHEMBL3586509,7.0
CHEMBL4109251,2246.0
CHEMBL4108814,2.8
CHEMBL4115314,27.0
CHEMBL4115029,14.0
CHEMBL3901226,301.0
CHEMBL3907736,3.3
CHEMBL3622516,7.2
CHEMBL3933655,271.0
CHEMBL4108513,694.0
CHEMBL3622518,187.0
CHEMBL3622523,79.0
CHEMBL4061227,66.0
CHEMBL4550566,20000.0
CHEMBL4080656,840.0
CHEMBL4064608,5.0
CHEMBL3361252,490.0
CHEMBL4075333,2100.0
CHEMBL4111756,1400.0
CHEMBL4089379,59.0
CHEMBL4110722,1.6
CHEMBL4097847,8400.0
CHEMBL4111965,466.0
CHEMBL3403450,403000.0
CHEMBL3892790,100.0
CHEMBL4110283,16.6
CHEMBL3634614,25.0
CHEMBL3951282,100.0
CHEMBL3890904,1000.0
CHEMBL3976036,100.0
CHEMBL3936469,100.0
CHEMBL3957868,100.0
CHEMBL4112444,3.3
CHEMBL4115117,3.3
CHEMBL4107486,23.0
CHEMBL4113747,0.9
CHEMBL3931506,1000.0
CHEMBL4112769,13.3
CHEMBL4109857,19.0
CHEMBL4107379,11.0
CHEMBL3961117,290.0
CHEMBL4114571,22.0
CHEMBL3945695,1000.0
CHEMBL4114255,21.0
CHEMBL4070214,250.0
CHEMBL3953074,100.0
CHEMBL4112564,89.0
CHEMBL3908895,1200.0
CHEMBL4107481,15.0
CHEMBL4111939,5.0
CHEMBL4111358,45.0
CHEMBL4114259,145.0
CHEMBL4110735,7.0
CHEMBL3586503,40.0
CHEMBL4110996,24.0
CHEMBL3893206,150.0
CHEMBL3899755,100.0
CHEMBL4108414,220.0
CHEMBL3970117,1000.0
CHEMBL3958640,1000.0
CHEMBL3949661,100.0
CHEMBL3914393,1000.0
CHEMBL3916738,1000.0
CHEMBL3953368,100.0
CHEMBL4108358,50.0
CHEMBL4110735,4.3
CHEMBL3921439,795.0
CHEMBL3929293,12.0
CHEMBL3915121,35.0
CHEMBL3951560,100.0
CHEMBL4112653,16.0
CHEMBL3353208,100.0
CHEMBL3353189,0.24
CHEMBL4112539,7.4
CHEMBL4063472,12.0
CHEMBL4110155,9.6
CHEMBL3892729,13.0
CHEMBL3963673,1700.0
CHEMBL3977868,8100.0
CHEMBL3924798,100.0
CHEMBL4110685,6.1
CHEMBL4109113,2.5
CHEMBL3894449,100.0
CHEMBL3892422,812.8
CHEMBL3586506,100.0
CHEMBL4109106,1693.0
CHEMBL4114568,2000.0
CHEMBL3967770,24.0
CHEMBL3622529,847.0
CHEMBL3968849,100.0
CHEMBL3955381,2280.0
CHEMBL3263640,50000.0
CHEMBL4779374,57.0
CHEMBL3943129,1000.0
CHEMBL4473656,187.0
CHEMBL4473472,128.0
CHEMBL3909411,2949.0
CHEMBL3900596,1000.0
CHEMBL3928663,2144.0
CHEMBL3972442,1000.0
CHEMBL3958889,4655.0
CHEMBL2022373,1423.0
CHEMBL4746200,
CHEMBL3904732,10.0
CHEMBL3944798,18.0
CHEMBL3891037,10.3
CHEMBL4787247,9.0
CHEMBL4111216,15.6
CHEMBL4112570,4.1
CHEMBL4107060,13.8
CHEMBL3634506,2.5
CHEMBL3948096,1000.0
CHEMBL3909791,766.0
CHEMBL3972016,100.0
CHEMBL3914986,1000.0
CHEMBL3741589,10000.0
CHEMBL4791581,1.3
CHEMBL4112802,1.5
CHEMBL4111100,17.0
CHEMBL4115189,3.6
CHEMBL3916413,5.3
CHEMBL4290222,94.0
CHEMBL3634381,0.5
CHEMBL3945782,1000.0
CHEMBL3911370,255.0
CHEMBL3959696,2200.0
CHEMBL3960163,1000.0
CHEMBL3622528,454.0
CHEMBL3970164,4900.0
CHEMBL4107689,54.0
CHEMBL4111214,340.0
CHEMBL3892709,390.0
CHEMBL3899809,100.0
CHEMBL3916631,4.6
CHEMBL3586495,100.0
CHEMBL4284323,234.42
CHEMBL4292700,354.81
CHEMBL4111055,3.7
CHEMBL4290222,94.0
CHEMBL4108607,21.0
CHEMBL4107909,17.0
CHEMBL3967745,1000.0
CHEMBL3884319,10000.0
CHEMBL4112526,864.0
CHEMBL4106665,1.2
CHEMBL4108028,3.8
CHEMBL4106523,6.3
CHEMBL4286802,363.08
CHEMBL3899909,100.0
CHEMBL3908966,100.0
CHEMBL3987115,7651.0
CHEMBL3894394,100.0
CHEMBL4109207,1.6
CHEMBL4280559,20.0
CHEMBL4110619,3.2
CHEMBL3921810,1.4
CHEMBL4112394,3.2
CHEMBL4111012,3.1
CHEMBL4107389,3.3
CHEMBL4112867,3.0
CHEMBL3914366,5.6
CHEMBL3987067,26.4
CHEMBL3912316,100.0
CHEMBL4108815,2500.0
CHEMBL4114583,520.0
CHEMBL4111811,1474.0
CHEMBL3934248,2.8
CHEMBL3901125,960.7
CHEMBL3924209,1.9
CHEMBL4107905,19.4
CHEMBL4109180,25.0
CHEMBL3920200,100.0
CHEMBL3889847,4647.0
CHEMBL3908856,100.0
CHEMBL3622525,333.0
CHEMBL3978235,4302.0
CHEMBL3904807,100.0
CHEMBL3943924,8087.0
CHEMBL3962309,4011.0
CHEMBL3918974,100.0
CHEMBL3962911,474.0
CHEMBL3979848,613.0
CHEMBL4097847,4265.8
CHEMBL4115629,2.4
CHEMBL4108784,6.5
CHEMBL4107578,4.5
CHEMBL4115586,1.9
CHEMBL4108427,7.1
CHEMBL4113934,4.3
CHEMBL4112370,23.2
CHEMBL3900127,338.0
CHEMBL3948538,2.6
CHEMBL4114846,1.9
CHEMBL4107195,43.0
CHEMBL4115542,2.6
CHEMBL3908695,5.6
CHEMBL4108005,140.0
CHEMBL3922407,100.0
CHEMBL3936414,26.0
CHEMBL4089379,6.0
CHEMBL4114030,5.2
