Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,PDB EXPDTA PH,Standard Value
CHEMBL3933431,-9.912,-0.283,-0.926,-2.176,-9.912,-3.611,-0.32,-1.837,-60.884,-8.888,0.417,-0.183,-106.946,-69.772,,100.0
CHEMBL3933496,-10.512,-0.292,-0.964,-2.293,-10.512,-4.379,-0.295,-1.795,-61.88,-8.183,0.402,-0.123,-110.132,-70.063,,1000.0
CHEMBL3933655,-8.485,-0.293,-0.899,-1.943,-8.489,-3.682,-0.523,-1.641,-47.169,-5.841,0.592,0.0,-76.31,-53.01,,271.0
CHEMBL3933884,-10.215,-0.352,-1.082,-2.339,-10.215,-4.028,-0.565,-1.774,-58.226,-10.79,0.682,0.0,-106.38,-69.017,,2253.0
CHEMBL3933904,-9.028,-0.282,-0.896,-2.022,-9.11,-3.39,-0.027,-2.594,-57.812,-6.813,0.813,0.0,-98.818,-64.625,,4.1
CHEMBL3933937,-9.834,-0.328,-1.019,-2.234,-9.834,-3.854,-0.216,-2.381,-57.164,-7.504,0.6,0.0,-103.413,-64.668,,1000.0
CHEMBL3934160,-10.29,-0.286,-0.944,-2.245,-10.29,-4.472,-0.545,-1.666,-59.837,-8.153,0.608,0.0,-108.929,-67.99,,1000.0
CHEMBL3934248,-8.053,-0.244,-0.783,-1.791,-9.45,-4.851,-0.077,-1.242,-59.549,-5.51,0.525,0.0,-98.639,-65.059,,2.8
CHEMBL3934549,-9.32,-0.266,-0.871,-2.046,-9.42,-3.309,0.0,-2.211,-55.301,-9.783,0.496,-0.163,-96.781,-65.084,,5.9
CHEMBL3934570,-9.876,-0.274,-0.906,-2.155,-9.876,-4.267,-0.338,-1.666,-55.483,-9.59,0.608,0.0,-103.37,-65.073,,1000.0
CHEMBL3934792,-9.614,-0.26,-0.866,-2.085,-9.964,-4.465,-0.304,-1.591,-61.533,-7.145,0.544,0.0,-105.264,-68.678,,1000.0
CHEMBL3934835,-9.456,-0.296,-0.938,-2.118,-9.458,-3.96,-0.2,-2.064,-54.243,-6.708,0.485,0.0,-94.624,-60.951,,1000.0
CHEMBL3935363,-8.909,-0.307,-0.944,-2.04,-8.909,-3.594,-0.354,-2.193,-51.596,-6.445,0.779,0.0,-86.704,-58.041,,455.0
