Title,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy
CHEMBL5085436,-11.695,-0.308,-1.035,-2.522,-11.708,-4.628,-0.829,-1.774,-53.704,-15.435,0.624,-0.1,-120.24,-69.139
CHEMBL482522,-11.689,-0.508,-1.445,-2.826,-11.763,-3.836,-0.808,-2.91,-38.458,-18.386,0.594,-0.121,-101.509,-56.844
CHEMBL4114115,-11.678,-0.307,-1.033,-2.518,-11.678,-3.455,-0.759,-2.622,-63.853,-16.058,0.759,0,-123.531,-79.912
CHEMBL4111747,-11.652,-0.324,-1.069,-2.542,-12.064,-4.967,-0.445,-1.566,-49.039,-19.48,0.431,-0.142,-109.962,-68.519
CHEMBL4112913,-11.648,-0.353,-1.132,-2.59,-11.74,-3.594,-0.663,-3.244,-55.554,-14.37,0.778,-0.083,-114.126,-69.923
CHEMBL4111673,-11.645,-0.342,-1.11,-2.573,-11.645,-3.7,-0.789,-3.248,-56.567,-12.198,0.751,0,-111.699,-68.764
CHEMBL4115463,-11.64,-0.323,-1.068,-2.54,-11.882,-3.694,-0.91,-2.486,-60.405,-16.168,0.764,-0.11,-138.794,-76.573
CHEMBL3917833,-11.634,-0.364,-1.154,-2.605,-11.683,-3.942,-0.561,-2.414,-54.021,-16.218,0.403,-0.035,-117.498,-70.239
CHEMBL4106715,-11.627,-0.332,-1.087,-2.552,-11.627,-3.948,-0.492,-3.123,-64.986,-9.883,0.711,-0.043,-117.875,-74.87
CHEMBL4111216,-11.625,-0.342,-1.108,-2.568,-11.757,-3.402,-0.839,-3.182,-52.11,-17.018,0.825,0,-112.118,-69.129
CHEMBL4107087,-11.624,-0.314,-1.047,-2.521,-11.624,-3.96,-0.535,-2.976,-67.268,-9.817,0.72,-0.037,-119.397,-77.085
CHEMBL4107994,-11.624,-0.306,-1.028,-2.506,-11.624,-3.521,-0.794,-2.996,-59.261,-12.722,0.657,-0.098,-114.786,-71.983
CHEMBL4111280,-11.62,-0.314,-1.047,-2.52,-11.62,-3.908,-0.581,-2.959,-65.169,-10.385,0.7,-0.056,-121.718,-75.554
CHEMBL4111216,-11.619,-0.342,-1.107,-2.567,-11.752,-3.575,-0.842,-3.157,-56.68,-14.405,0.825,-0.007,-116.517,-71.085
CHEMBL4113185,-11.585,-0.341,-1.104,-2.559,-11.676,-3.391,-0.668,-3.262,-54.782,-15.161,0.751,-0.092,-114.756,-69.942
CHEMBL4111561,-11.583,-0.341,-1.104,-2.559,-11.583,-3.67,-0.617,-3.129,-61.888,-12.157,0.751,0,-117.828,-74.045
CHEMBL402174,-11.581,-0.483,-1.392,-2.772,-11.587,-3.058,-0.807,-3.551,-38.953,-17.415,0.534,-0.144,-108.097,-56.368
CHEMBL4106994,-11.58,-0.386,-1.199,-2.631,-11.583,-3.944,-0.608,-2.596,-52.644,-14.985,0.474,-0.028,-114.237,-67.63
CHEMBL255272,-11.574,-0.526,-1.474,-2.829,-11.581,-2.785,-0.805,-3.934,-39.221,-17.216,0.633,-0.147,-107.135,-56.436
CHEMBL255272,-11.574,-0.526,-1.474,-2.829,-11.581,-2.785,-0.805,-3.934,-39.221,-17.216,0.633,-0.147,-107.135,-56.436
